Date,SourceCommonName,Persons,Organizations,Locations,Counts,V2Tone,TranslationInfo
20250115141500,naijanews.com,jarret tenebe,democratic party;zenith labour party;action democratic party;peoples movement;action alliance;peoples democratic party;edo high court,"1#Benin#BN#BN#9.5#2.25#BN;5#Edo State, Edo, Nigeria#NI#NI37#6.5#6#29623",,"-2.08333333333333,6.8452380952381,8.92857142857143,15.7738095238095,19.3452380952381,0.595238095238095,312",
20250115141500,naijanews.com,jarret tenebe,democratic party;zenith labour party;action democratic party;peoples movement;action alliance;peoples democratic party;edo high court,"1#Benin#BN#BN#9.5#2.25#BN;5#Edo State, Edo, Nigeria#NI#NI37#6.5#6#29623",,"-2.08333333333333,6.8452380952381,8.92857142857143,15.7738095238095,19.3452380952381,0.595238095238095,312",
20250117044500,thisdaylive.com,apostle paul;fred itua;godwin obaseki,upper mission junction;road development,"1#Benin#BN#BN#9.5#2.25#BN;4#Ekpoma, Edo, Nigeria#NI#NI37#6.74206#6.139#-2006168;4#Obadan, Edo, Nigeria#NI#NI37#6.47565#5.90484#-2021440;4#Aduwawa, Edo, Nigeria#NI#NI37#6.36294#5.6791#-1997477;5#Edo State, Edo, Nigeria#NI#NI37#6.5#6#29623;4#Udomi, Delta, Nigeria#NI#NI36#6.13505#6.17796#-2028869","KILL#100##5#Edo, Nigeria#NI#NI37#6.5#6#29623;","-2.21465076660988,3.40715502555366,5.62180579216354,9.02896081771721,21.2947189097104,0.511073253833049,1064",
20250117044500,thisdaylive.com,apostle paul;fred itua;godwin obaseki,upper mission junction;road development,"1#Benin#BN#BN#9.5#2.25#BN;4#Ekpoma, Edo, Nigeria#NI#NI37#6.74206#6.139#-2006168;4#Obadan, Edo, Nigeria#NI#NI37#6.47565#5.90484#-2021440;4#Aduwawa, Edo, Nigeria#NI#NI37#6.36294#5.6791#-1997477;5#Edo State, Edo, Nigeria#NI#NI37#6.5#6#29623;4#Udomi, Delta, Nigeria#NI#NI36#6.13505#6.17796#-2028869","KILL#100##5#Edo, Nigeria#NI#NI37#6.5#6#29623;","-2.21465076660988,3.40715502555366,5.62180579216354,9.02896081771721,21.2947189097104,0.511073253833049,1064",
20250117044500,thisdaylive.com,apostle paul;fred itua;godwin obaseki,upper mission junction;road development,"1#Benin#BN#BN#9.5#2.25#BN;4#Ekpoma, Edo, Nigeria#NI#NI37#6.74206#6.139#-2006168;4#Obadan, Edo, Nigeria#NI#NI37#6.47565#5.90484#-2021440;4#Aduwawa, Edo, Nigeria#NI#NI37#6.36294#5.6791#-1997477;5#Edo State, Edo, Nigeria#NI#NI37#6.5#6#29623;4#Udomi, Delta, Nigeria#NI#NI36#6.13505#6.17796#-2028869","KILL#100##5#Edo, Nigeria#NI#NI37#6.5#6#29623;","-2.21465076660988,3.40715502555366,5.62180579216354,9.02896081771721,21.2947189097104,0.511073253833049,1064",
20250117044500,thisdaylive.com,apostle paul;fred itua;godwin obaseki,upper mission junction;road development,"1#Benin#BN#BN#9.5#2.25#BN;4#Ekpoma, Edo, Nigeria#NI#NI37#6.74206#6.139#-2006168;4#Obadan, Edo, Nigeria#NI#NI37#6.47565#5.90484#-2021440;4#Aduwawa, Edo, Nigeria#NI#NI37#6.36294#5.6791#-1997477;5#Edo State, Edo, Nigeria#NI#NI37#6.5#6#29623;4#Udomi, Delta, Nigeria#NI#NI36#6.13505#6.17796#-2028869","KILL#100##5#Edo, Nigeria#NI#NI37#6.5#6#29623;","-2.21465076660988,3.40715502555366,5.62180579216354,9.02896081771721,21.2947189097104,0.511073253833049,1064",
20250117044500,thisdaylive.com,apostle paul;fred itua;godwin obaseki,upper mission junction;road development,"1#Benin#BN#BN#9.5#2.25#BN;4#Ekpoma, Edo, Nigeria#NI#NI37#6.74206#6.139#-2006168;4#Obadan, Edo, Nigeria#NI#NI37#6.47565#5.90484#-2021440;4#Aduwawa, Edo, Nigeria#NI#NI37#6.36294#5.6791#-1997477;5#Edo State, Edo, Nigeria#NI#NI37#6.5#6#29623;4#Udomi, Delta, Nigeria#NI#NI36#6.13505#6.17796#-2028869","KILL#100##5#Edo, Nigeria#NI#NI37#6.5#6#29623;","-2.21465076660988,3.40715502555366,5.62180579216354,9.02896081771721,21.2947189097104,0.511073253833049,1064",
20250117023000,newsdigest.ng,,economic community of west african states,1#Benin#BN#BN#9.5#2.25#BN,,"-6.69856459330143,3.34928229665072,10.0478468899522,13.3971291866029,14.8325358851675,0,199",
20250117023000,newsdigest.ng,,economic community of west african states,1#Benin#BN#BN#9.5#2.25#BN,,"-6.69856459330143,3.34928229665072,10.0478468899522,13.3971291866029,14.8325358851675,0,199",
20250117021500,visages-du-benin.com,,a committee;supreme court courtship supreme;supreme court,1#Benin#BN#BN#9.5#2.25#BN,,"1.23456790123457,3.14253647586981,1.90796857463524,5.05050505050505,22.8956228956229,5.38720538720539,842",srclc:fra;eng:GT-FRA 1.0
20250117050000,traveldailymedia.com,maud bailly;xavier grange;south-east asia,sofitel;sofitel sapa hotel branded residences;sofitel cotonou marina hotel spa;accor;abraj omar hotel residences makkah;accor group,"1#Benin#BN#BN#9.5#2.25#BN;1#Vietnam, Republic Of#VM#VM#16.166667#107.833333#VM;1#Portugal#PO#PO#39.5#-8#PO;1#Australia#AS#AS#-25#135#AS;1#Saudi Arabia#SA#SA#25#45#SA;4#Prague, Praha, HlavníEsto, Czech Republic#EZ#EZ52#50.0833#14.4667#-553173;1#Mexico#MX#MX#23#-102#MX;1#India#IN#IN#20#77#IN;1#Ireland#EI#EI#53#-8#EI;1#Japan#JA#JA#36#138#JA;4#Aix-En-Provence, Provence-Alpes-CôD'azur, France#FR#FRB8#43.5287#5.44879#-1406939;1#Egypt#EG#EG#27#30#EG;4#Giza, Al Jizah, Egypt#EG#EG08#30.0086#31.2122#-290326;1#United States#US#US#39.828175#-98.5795#US;1#France#FR#FR#46#2#FR",,"5.32994923857868,5.58375634517767,0.253807106598985,5.83756345177665,15.2284263959391,1.52284263959391,688",
